2025-12-19T14:30:18.000000000Z [inf]  Starting Container
2025-12-19T14:30:19.222935264Z [inf]  =========================================
2025-12-19T14:30:19.222945643Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-19T14:30:19.222955148Z [inf]  =========================================
2025-12-19T14:30:19.222970469Z [inf]  📍 Working directory: /app/backend
2025-12-19T14:30:19.222982004Z [inf]  🔍 Python path: /app/backend
2025-12-19T14:30:19.222989929Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-19T14:30:19.222997767Z [inf]  =========================================
2025-12-19T14:30:20.385011676Z [err]  [2025-12-19 14:30:19 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-19T14:30:20.385019161Z [err]  [2025-12-19 14:30:19 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-19T14:30:20.385071393Z [err]  [2025-12-19 14:30:19 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-19T14:30:20.385083920Z [err]  [2025-12-19 14:30:19 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-19T14:30:20.385091668Z [err]  [2025-12-19 14:30:19 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-19T14:30:20.385103485Z [err]  [2025-12-19 14:30:19 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-19T14:30:20.385111344Z [err]  [2025-12-19 14:30:19 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-19T14:30:22.300574043Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.300575479Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2025-12-19T14:30:22.300583733Z [err]  [2025-12-19 14:30:21 +0000] [6] [INFO] Worker exiting (pid: 6)
2025-12-19T14:30:22.300592271Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2025-12-19T14:30:22.300592621Z [err]    File "/app/backend/server.py", line 39, in <module>
2025-12-19T14:30:22.300603111Z [err]  [2025-12-19 14:30:22 +0000] [5] [ERROR] Exception in worker process
2025-12-19T14:30:22.300605125Z [err]      from calling_service import create_call_session, get_call_session, close_call_session, CallSession
2025-12-19T14:30:22.300607320Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2025-12-19T14:30:22.300618216Z [err]    File "/app/backend/calling_service.py", line 803
2025-12-19T14:30:22.300619523Z [err]  Traceback (most recent call last):
2025-12-19T14:30:22.300619755Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2025-12-19T14:30:22.300629076Z [err]      clean_text, audio_payload = self.delivery_middleware.process(sentence)
2025-12-19T14:30:22.300631450Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2025-12-19T14:30:22.300637772Z [err]  IndentationError: unexpected indent
2025-12-19T14:30:22.300640967Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2025-12-19T14:30:22.300649562Z [err]      mod = importlib.import_module(module)
2025-12-19T14:30:22.300659656Z [err]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.300668379Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2025-12-19T14:30:22.300677091Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2025-12-19T14:30:22.300824006Z [err]  [2025-12-19 14:30:21 +0000] [6] [ERROR] Exception in worker process
2025-12-19T14:30:22.300831382Z [err]  Traceback (most recent call last):
2025-12-19T14:30:22.300838030Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/arbiter.py", line 609, in spawn_worker
2025-12-19T14:30:22.300845098Z [err]      worker.init_process()
2025-12-19T14:30:22.300852949Z [err]    File "/root/.local/lib/python3.11/site-packages/uvicorn/workers.py", line 66, in init_process
2025-12-19T14:30:22.300859776Z [err]      super(UvicornWorker, self).init_process()
2025-12-19T14:30:22.300866381Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 134, in init_process
2025-12-19T14:30:22.300872461Z [err]      self.load_wsgi()
2025-12-19T14:30:22.300879317Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 146, in load_wsgi
2025-12-19T14:30:22.300885859Z [err]      self.wsgi = self.app.wsgi()
2025-12-19T14:30:22.300892920Z [err]                  ^^^^^^^^^^^^^^^
2025-12-19T14:30:22.300899611Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/base.py", line 67, in wsgi
2025-12-19T14:30:22.300907714Z [err]      self.callable = self.load()
2025-12-19T14:30:22.300914531Z [err]                      ^^^^^^^^^^^
2025-12-19T14:30:22.300921278Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 58, in load
2025-12-19T14:30:22.300928281Z [err]      return self.load_wsgiapp()
2025-12-19T14:30:22.300934738Z [err]             ^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.300940664Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 48, in load_wsgiapp
2025-12-19T14:30:22.300947191Z [err]      return util.import_app(self.app_uri)
2025-12-19T14:30:22.300954363Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.300960230Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/util.py", line 371, in import_app
2025-12-19T14:30:22.301626471Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/arbiter.py", line 609, in spawn_worker
2025-12-19T14:30:22.301636399Z [err]      worker.init_process()
2025-12-19T14:30:22.301643513Z [err]    File "/root/.local/lib/python3.11/site-packages/uvicorn/workers.py", line 66, in init_process
2025-12-19T14:30:22.301650569Z [err]      super(UvicornWorker, self).init_process()
2025-12-19T14:30:22.301655918Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 134, in init_process
2025-12-19T14:30:22.301664372Z [err]      self.load_wsgi()
2025-12-19T14:30:22.301669340Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 146, in load_wsgi
2025-12-19T14:30:22.301674835Z [err]      self.wsgi = self.app.wsgi()
2025-12-19T14:30:22.301679594Z [err]                  ^^^^^^^^^^^^^^^
2025-12-19T14:30:22.301684647Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/base.py", line 67, in wsgi
2025-12-19T14:30:22.301689876Z [err]      self.callable = self.load()
2025-12-19T14:30:22.301694543Z [err]                      ^^^^^^^^^^^
2025-12-19T14:30:22.301706389Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 58, in load
2025-12-19T14:30:22.301712436Z [err]      return self.load_wsgiapp()
2025-12-19T14:30:22.301718706Z [err]             ^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.301724436Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 48, in load_wsgiapp
2025-12-19T14:30:22.301730012Z [err]      return util.import_app(self.app_uri)
2025-12-19T14:30:22.301737042Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.301743295Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/util.py", line 371, in import_app
2025-12-19T14:30:22.301748134Z [err]      mod = importlib.import_module(module)
2025-12-19T14:30:22.308026826Z [err]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.308033149Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2025-12-19T14:30:22.308039181Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2025-12-19T14:30:22.308046271Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.308058290Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2025-12-19T14:30:22.308065137Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2025-12-19T14:30:22.308072166Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2025-12-19T14:30:22.308078532Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2025-12-19T14:30:22.308084637Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2025-12-19T14:30:22.308091893Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2025-12-19T14:30:22.308098287Z [err]    File "/app/backend/server.py", line 39, in <module>
2025-12-19T14:30:22.308103985Z [err]      from calling_service import create_call_session, get_call_session, close_call_session, CallSession
2025-12-19T14:30:22.308128798Z [err]    File "/app/backend/calling_service.py", line 803
2025-12-19T14:30:22.308136281Z [err]      clean_text, audio_payload = self.delivery_middleware.process(sentence)
2025-12-19T14:30:22.308142761Z [err]  IndentationError: unexpected indent
2025-12-19T14:30:22.308149216Z [err]  [2025-12-19 14:30:22 +0000] [5] [INFO] Worker exiting (pid: 5)
2025-12-19T14:30:22.308157951Z [err]  [2025-12-19 14:30:22 +0000] [4] [ERROR] Exception in worker process
2025-12-19T14:30:22.308163041Z [err]  Traceback (most recent call last):
2025-12-19T14:30:22.308167979Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/arbiter.py", line 609, in spawn_worker
2025-12-19T14:30:22.310070913Z [err]      worker.init_process()
2025-12-19T14:30:22.310079153Z [err]    File "/root/.local/lib/python3.11/site-packages/uvicorn/workers.py", line 66, in init_process
2025-12-19T14:30:22.310086405Z [err]      super(UvicornWorker, self).init_process()
2025-12-19T14:30:22.310092839Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 134, in init_process
2025-12-19T14:30:22.310099327Z [err]      self.load_wsgi()
2025-12-19T14:30:22.310107166Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 146, in load_wsgi
2025-12-19T14:30:22.310113671Z [err]      self.wsgi = self.app.wsgi()
2025-12-19T14:30:22.310119649Z [err]                  ^^^^^^^^^^^^^^^
2025-12-19T14:30:22.310131978Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/base.py", line 67, in wsgi
2025-12-19T14:30:22.310138652Z [err]      self.callable = self.load()
2025-12-19T14:30:22.310145055Z [err]                      ^^^^^^^^^^^
2025-12-19T14:30:22.310157406Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 58, in load
2025-12-19T14:30:22.310163755Z [err]      return self.load_wsgiapp()
2025-12-19T14:30:22.310170337Z [err]             ^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.310176944Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 48, in load_wsgiapp
2025-12-19T14:30:22.310183180Z [err]      return util.import_app(self.app_uri)
2025-12-19T14:30:22.310189809Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.310196425Z [err]    File "/root/.local/lib/python3.11/site-packages/gunicorn/util.py", line 371, in import_app
2025-12-19T14:30:22.310337641Z [err]      mod = importlib.import_module(module)
2025-12-19T14:30:22.310348529Z [err]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.310356501Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2025-12-19T14:30:22.311551541Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2025-12-19T14:30:22.311555979Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-19T14:30:22.311562517Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
