2025-12-18T01:48:06.000000000Z [inf]  Starting Container
2025-12-18T01:48:07.140062643Z [inf]  📍 Working directory: /app/backend
2025-12-18T01:48:07.140068131Z [inf]  =========================================
2025-12-18T01:48:07.140072554Z [inf]  🔍 Python path: /app/backend
2025-12-18T01:48:07.140078865Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-18T01:48:07.140081713Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-18T01:48:07.140088843Z [inf]  =========================================
2025-12-18T01:48:07.140090481Z [inf]  =========================================
2025-12-18T01:48:09.571540755Z [err]  [2025-12-18 01:48:09 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-18T01:48:09.571550121Z [err]  [2025-12-18 01:48:09 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-18T01:48:09.571554134Z [err]  [2025-12-18 01:48:09 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-18T01:48:09.582333469Z [err]  [2025-12-18 01:48:09 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-18T01:48:09.593370328Z [err]  [2025-12-18 01:48:09 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-18T01:48:09.659901789Z [err]  [2025-12-18 01:48:09 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-18T01:48:09.726358770Z [err]  [2025-12-18 01:48:09 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-18T01:48:29.725166192Z [err]  2025-12-18 01:48:27,873 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T01:48:29.725175923Z [err]  2025-12-18 01:48:27,873 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T01:48:29.725184924Z [err]  2025-12-18 01:48:27,874 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T01:48:29.725193626Z [err]  2025-12-18 01:48:27,874 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T01:48:29.725200757Z [err]  2025-12-18 01:48:27,876 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T01:48:29.725206648Z [err]  2025-12-18 01:48:27,876 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T01:48:29.725213020Z [err]  2025-12-18 01:48:27,898 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T01:48:29.725219128Z [err]  2025-12-18 01:48:27,898 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T01:48:29.725224461Z [err]  2025-12-18 01:48:27,899 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T01:48:29.725229686Z [err]  2025-12-18 01:48:27,950 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
