2025-12-27T06:06:46.000000000Z [inf]  Starting Container
2025-12-27T06:06:47.151866500Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-27T06:06:47.151872383Z [inf]  =========================================
2025-12-27T06:06:47.151899263Z [inf]  =========================================
2025-12-27T06:06:47.151904337Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-27T06:06:47.151908608Z [inf]  =========================================
2025-12-27T06:06:47.151913389Z [inf]  📍 Working directory: /app/backend
2025-12-27T06:06:47.151918012Z [inf]  🔍 Python path: /app/backend
2025-12-27T06:06:47.495896022Z [err]  [2025-12-27 06:06:47 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-27T06:06:47.495905633Z [err]  [2025-12-27 06:06:47 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-27T06:06:47.495913253Z [err]  [2025-12-27 06:06:47 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-27T06:06:47.495922411Z [err]  [2025-12-27 06:06:47 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-27T06:06:47.569300739Z [err]  [2025-12-27 06:06:47 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-27T06:06:47.569304965Z [err]  [2025-12-27 06:06:47 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-27T06:06:47.605831490Z [err]  [2025-12-27 06:06:47 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-27T06:07:07.707127382Z [err]  2025-12-27 06:07:04,299 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T06:07:07.707132339Z [err]  2025-12-27 06:07:04,300 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T06:07:07.707137553Z [err]  2025-12-27 06:07:04,300 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T06:07:07.707143070Z [err]  2025-12-27 06:07:04,300 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T06:07:07.707148301Z [err]  2025-12-27 06:07:04,307 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T06:07:07.707153409Z [err]  2025-12-27 06:07:04,307 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T06:07:07.707158421Z [err]  2025-12-27 06:07:04,325 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T06:07:07.707163553Z [err]  2025-12-27 06:07:04,327 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T06:07:07.707168712Z [err]  2025-12-27 06:07:04,338 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T06:07:07.707175674Z [err]  2025-12-27 06:07:04,440 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T06:07:07.707181206Z [err]  2025-12-27 06:07:04,457 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T06:07:07.707186610Z [err]  2025-12-27 06:07:04,460 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T06:07:07.707191849Z [err]  2025-12-27 06:07:04,474 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T06:07:07.707197249Z [err]  2025-12-27 06:07:04,474 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T06:07:07.707230276Z [err]  2025-12-27 06:07:04,506 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T06:07:07.707235725Z [err]  2025-12-27 06:07:04,600 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T06:07:07.707241380Z [err]  2025-12-27 06:07:04,607 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T06:07:07.707246499Z [err]  2025-12-27 06:07:04,638 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T06:07:07.707251817Z [err]  2025-12-27 06:07:04,640 - server - INFO - ✅ QC agent router loaded
2025-12-27T06:07:07.707256917Z [err]  2025-12-27 06:07:04,642 - server - INFO - ✅ QC agent router loaded
