2026-01-02T01:09:31.000000000Z [inf]  Starting Container
2026-01-02T01:09:32.647955473Z [inf]  =========================================
2026-01-02T01:09:32.647964404Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-02T01:09:32.647971731Z [inf]  =========================================
2026-01-02T01:09:32.647978842Z [inf]  📍 Working directory: /app/backend
2026-01-02T01:09:32.648018448Z [inf]  🔍 Python path: /app/backend
2026-01-02T01:09:32.648026376Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-02T01:09:32.648034042Z [inf]  =========================================
2026-01-02T01:09:33.793239679Z [err]  [2026-01-02 01:09:33 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-02T01:09:33.793246520Z [err]  [2026-01-02 01:09:33 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-02T01:09:33.793253587Z [err]  [2026-01-02 01:09:33 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-02T01:09:33.793276657Z [err]  [2026-01-02 01:09:33 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-02T01:09:33.793361964Z [err]  [2026-01-02 01:09:33 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-02T01:09:33.797141615Z [err]  [2026-01-02 01:09:33 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-02T01:09:33.871789775Z [err]  [2026-01-02 01:09:33 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-02T01:09:53.873620552Z [err]  2026-01-02 01:09:53,227 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-02T01:09:53.873629684Z [err]  2026-01-02 01:09:53,078 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-02T01:09:53.873639227Z [err]  2026-01-02 01:09:53,078 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-02T01:09:53.873646483Z [err]  2026-01-02 01:09:53,079 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-02T01:09:53.873652377Z [err]  2026-01-02 01:09:53,079 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-02T01:09:53.873658342Z [err]  2026-01-02 01:09:53,084 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-02T01:09:53.873666607Z [err]  2026-01-02 01:09:53,085 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-02T01:09:53.873673266Z [err]  2026-01-02 01:09:53,107 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-02T01:09:53.873680418Z [err]  2026-01-02 01:09:53,111 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-02T01:09:53.873687670Z [err]  2026-01-02 01:09:53,115 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-02T01:09:53.873694693Z [err]  2026-01-02 01:09:53,129 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-02T01:09:53.873702154Z [err]  2026-01-02 01:09:53,129 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-02T01:09:53.873709153Z [err]  2026-01-02 01:09:53,165 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-02T01:09:53.873716514Z [err]  2026-01-02 01:09:53,225 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-02T01:09:53.874721024Z [err]  2026-01-02 01:09:53,268 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-02T01:09:53.874730703Z [err]  2026-01-02 01:09:53,503 - server - INFO - ✅ CRM router loaded
2026-01-02T01:09:53.874731436Z [err]  2026-01-02 01:09:53,320 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-02T01:09:53.874736374Z [err]  2026-01-02 01:09:53,397 - server - INFO - ✅ QC learning router loaded
2026-01-02T01:09:53.874740347Z [err]  2026-01-02 01:09:53,505 - server - INFO - ✅ QC test router loaded
2026-01-02T01:09:53.874741244Z [err]  2026-01-02 01:09:53,328 - server - INFO - ✅ QC enhanced router loaded
2026-01-02T01:09:53.874749528Z [err]  2026-01-02 01:09:53,330 - server - INFO - ✅ QC enhanced router loaded
2026-01-02T01:09:53.874753352Z [err]  2026-01-02 01:09:53,397 - server - INFO - ✅ QC agent router loaded
2026-01-02T01:09:53.874757962Z [err]  2026-01-02 01:09:53,363 - server - INFO - ✅ QC enhanced router loaded
2026-01-02T01:09:53.874762830Z [err]  2026-01-02 01:09:53,410 - server - INFO - ✅ QC agent router loaded
2026-01-02T01:09:53.874767047Z [err]  2026-01-02 01:09:53,370 - server - INFO - ✅ QC agent router loaded
2026-01-02T01:09:53.874772077Z [err]  2026-01-02 01:09:53,415 - server - INFO - ✅ QC learning router loaded
2026-01-02T01:09:53.874776204Z [err]  2026-01-02 01:09:53,374 - server - INFO - ✅ QC enhanced router loaded
2026-01-02T01:09:53.874781434Z [err]  2026-01-02 01:09:53,427 - server - INFO - ✅ QC learning router loaded
2026-01-02T01:09:53.874785306Z [err]  2026-01-02 01:09:53,375 - server - INFO - ✅ QC agent router loaded
2026-01-02T01:09:53.874792080Z [err]  2026-01-02 01:09:53,494 - server - INFO - ✅ CRM router loaded
2026-01-02T01:09:53.874794329Z [err]  2026-01-02 01:09:53,393 - server - INFO - ✅ QC learning router loaded
2026-01-02T01:09:53.874800939Z [err]  2026-01-02 01:09:53,499 - server - INFO - ✅ CRM router loaded
2026-01-02T01:09:53.875917304Z [err]  2026-01-02 01:09:53,506 - server - INFO - ✅ QC test router loaded
2026-01-02T01:09:53.875920258Z [err]  [2026-01-02 01:09:53 +0000] [6] [INFO] Waiting for application startup.
2026-01-02T01:09:53.875926959Z [err]  2026-01-02 01:09:53,506 - server - INFO - ✅ QC test router loaded
2026-01-02T01:09:53.875930447Z [err]  2026-01-02 01:09:53,549 - server - INFO - ✅ Director Studio router loaded
2026-01-02T01:09:53.875936294Z [err]  2026-01-02 01:09:53,523 - server - INFO - ✅ Agent test router loaded
2026-01-02T01:09:53.875938612Z [err]  2026-01-02 01:09:53,549 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-02T01:09:53.875944850Z [err]  2026-01-02 01:09:53,525 - server - INFO - ✅ Agent test router loaded
2026-01-02T01:09:53.875951958Z [err]  2026-01-02 01:09:53,527 - server - INFO - ✅ CRM router loaded
2026-01-02T01:09:53.875958932Z [err]  2026-01-02 01:09:53,528 - server - INFO - ✅ Agent test router loaded
2026-01-02T01:09:53.875965710Z [err]  2026-01-02 01:09:53,531 - server - INFO - ✅ QC test router loaded
2026-01-02T01:09:53.875972995Z [err]  2026-01-02 01:09:53,533 - server - INFO - ✅ Director Studio router loaded
