2026-01-07T23:02:04.000000000Z [inf]  Starting Container
2026-01-07T23:02:04.807781673Z [inf]  =========================================
2026-01-07T23:02:04.807789913Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-07T23:02:04.807801785Z [inf]  =========================================
2026-01-07T23:02:04.807809661Z [inf]  📍 Working directory: /app/backend
2026-01-07T23:02:04.807818661Z [inf]  🔍 Python path: /app/backend
2026-01-07T23:02:04.807825662Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-07T23:02:04.807833399Z [inf]  =========================================
2026-01-07T23:02:05.674511416Z [err]  [2026-01-07 23:02:05 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-07T23:02:05.674517914Z [err]  [2026-01-07 23:02:05 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-07T23:02:05.674524379Z [err]  [2026-01-07 23:02:05 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-07T23:02:05.674530817Z [err]  [2026-01-07 23:02:05 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-07T23:02:05.674537615Z [err]  [2026-01-07 23:02:05 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-07T23:02:05.674544009Z [err]  [2026-01-07 23:02:05 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-07T23:02:05.674551230Z [err]  [2026-01-07 23:02:05 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-07T23:02:25.337281129Z [err]  2026-01-07 23:02:21,810 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-07T23:02:25.337293559Z [err]  2026-01-07 23:02:21,624 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-07T23:02:25.337294949Z [err]  2026-01-07 23:02:21,822 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-07T23:02:25.337305746Z [err]  2026-01-07 23:02:21,831 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-07T23:02:25.337310232Z [err]  2026-01-07 23:02:21,624 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-07T23:02:25.337319903Z [err]  2026-01-07 23:02:21,635 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-07T23:02:25.337322126Z [err]  2026-01-07 23:02:21,832 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-07T23:02:25.337329784Z [err]  2026-01-07 23:02:21,635 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-07T23:02:25.337337343Z [err]  2026-01-07 23:02:21,635 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-07T23:02:25.337344272Z [err]  2026-01-07 23:02:21,635 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-07T23:02:25.337351689Z [err]  2026-01-07 23:02:21,663 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-07T23:02:25.337358241Z [err]  2026-01-07 23:02:21,672 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-07T23:02:25.337364846Z [err]  2026-01-07 23:02:21,674 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-07T23:02:25.337373282Z [err]  2026-01-07 23:02:21,810 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
