2026-01-08T01:42:30.000000000Z [inf]  Starting Container
2026-01-08T01:42:30.949510869Z [inf]  =========================================
2026-01-08T01:42:30.949516268Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-08T01:42:30.949521423Z [inf]  =========================================
2026-01-08T01:42:30.949527532Z [inf]  📍 Working directory: /app/backend
2026-01-08T01:42:30.949532502Z [inf]  🔍 Python path: /app/backend
2026-01-08T01:42:30.949537321Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-08T01:42:30.949543828Z [inf]  =========================================
2026-01-08T01:42:31.540907616Z [err]  [2026-01-08 01:42:31 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-08T01:42:31.540912770Z [err]  [2026-01-08 01:42:31 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-08T01:42:31.540917311Z [err]  [2026-01-08 01:42:31 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-08T01:42:31.546549224Z [err]  [2026-01-08 01:42:31 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-08T01:42:31.608479629Z [err]  [2026-01-08 01:42:31 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-08T01:42:31.661710321Z [err]  [2026-01-08 01:42:31 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-08T01:42:31.919975076Z [err]  [2026-01-08 01:42:31 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-08T01:42:51.821463985Z [err]  2026-01-08 01:42:46,576 - server - INFO - ✅ QC enhanced router loaded
2026-01-08T01:42:51.821477864Z [err]  2026-01-08 01:42:46,273 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-08T01:42:51.821488718Z [err]  2026-01-08 01:42:46,273 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-08T01:42:51.821496009Z [err]  2026-01-08 01:42:46,299 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-08T01:42:51.821500468Z [err]  2026-01-08 01:42:46,299 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-08T01:42:51.821504426Z [err]  2026-01-08 01:42:46,300 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-08T01:42:51.821510082Z [err]  2026-01-08 01:42:46,312 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-08T01:42:51.821514069Z [err]  2026-01-08 01:42:46,312 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-08T01:42:51.821518019Z [err]  2026-01-08 01:42:46,323 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-08T01:42:51.821523027Z [err]  2026-01-08 01:42:46,335 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-08T01:42:51.821529522Z [err]  2026-01-08 01:42:46,414 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-08T01:42:51.821536785Z [err]  2026-01-08 01:42:46,427 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-08T01:42:51.821543620Z [err]  2026-01-08 01:42:46,442 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-08T01:42:51.821550046Z [err]  2026-01-08 01:42:46,570 - server - INFO - ✅ QC enhanced router loaded
2026-01-08T01:42:51.821976049Z [err]  2026-01-08 01:42:46,679 - server - INFO - ✅ Voice library router loaded
2026-01-08T01:42:51.821977217Z [err]  2026-01-08 01:42:46,579 - server - INFO - ✅ QC enhanced router loaded
2026-01-08T01:42:51.821986169Z [err]  2026-01-08 01:42:46,727 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-08T01:42:51.821989232Z [err]  2026-01-08 01:42:46,586 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-08T01:42:51.821994598Z [err]  2026-01-08 01:42:46,776 - server - INFO - ✅ QC enhanced router loaded
2026-01-08T01:42:51.821998601Z [err]  2026-01-08 01:42:46,586 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-08T01:42:51.822003945Z [err]  2026-01-08 01:42:46,778 - server - INFO - ✅ CRM router loaded
2026-01-08T01:42:51.822007066Z [err]  2026-01-08 01:42:46,610 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-08T01:42:51.822012696Z [err]  2026-01-08 01:42:46,811 - server - INFO - ✅ QC agent router loaded
2026-01-08T01:42:51.822015271Z [err]  2026-01-08 01:42:46,639 - server - INFO - ✅ QC agent router loaded
2026-01-08T01:42:51.822021855Z [err]  2026-01-08 01:42:46,652 - server - INFO - ✅ QC agent router loaded
2026-01-08T01:42:51.822028570Z [err]  2026-01-08 01:42:46,652 - server - INFO - ✅ QC agent router loaded
2026-01-08T01:42:51.822034580Z [err]  2026-01-08 01:42:46,663 - server - INFO - ✅ QC learning router loaded
2026-01-08T01:42:51.822042985Z [err]  2026-01-08 01:42:46,669 - server - INFO - ✅ QC learning router loaded
2026-01-08T01:42:51.822050032Z [err]  2026-01-08 01:42:46,671 - server - INFO - ✅ QC learning router loaded
2026-01-08T01:42:51.822056271Z [err]  2026-01-08 01:42:46,673 - server - INFO - ✅ Voice library router loaded
2026-01-08T01:42:51.822063725Z [err]  2026-01-08 01:42:46,676 - server - INFO - ✅ Voice library router loaded
2026-01-08T01:42:51.822836115Z [err]  2026-01-08 01:42:46,907 - server - INFO - ✅ QC test router loaded
2026-01-08T01:42:51.822843344Z [err]  2026-01-08 01:42:46,920 - server - INFO - ✅ Agent test router loaded
2026-01-08T01:42:51.822845693Z [err]  2026-01-08 01:42:46,814 - server - INFO - ✅ CRM router loaded
2026-01-08T01:42:51.822849659Z [err]  [2026-01-08 01:42:46 +0000] [3] [INFO] Waiting for application startup.
2026-01-08T01:42:51.822853640Z [err]  2026-01-08 01:42:46,818 - server - INFO - ✅ QC test router loaded
