2026-01-08T00:31:13.000000000Z [inf]  Starting Container
2026-01-08T00:31:14.995710293Z [inf]  =========================================
2026-01-08T00:31:14.995723073Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-08T00:31:14.995731491Z [inf]  =========================================
2026-01-08T00:31:14.995738615Z [inf]  📍 Working directory: /app/backend
2026-01-08T00:31:14.995746091Z [inf]  🔍 Python path: /app/backend
2026-01-08T00:31:14.995754059Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-08T00:31:14.995760747Z [inf]  =========================================
2026-01-08T00:31:14.995772000Z [err]  [2026-01-08 00:31:14 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-08T00:31:14.995783342Z [err]  [2026-01-08 00:31:14 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-08T00:31:14.995791495Z [err]  [2026-01-08 00:31:14 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-08T00:31:14.995798816Z [err]  [2026-01-08 00:31:14 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-08T00:31:14.995805140Z [err]  [2026-01-08 00:31:14 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-08T00:31:14.995812021Z [err]  [2026-01-08 00:31:14 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-08T00:31:14.995822394Z [err]  [2026-01-08 00:31:14 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-08T00:31:34.299292586Z [err]  ⚠️ Could not import RAG service: Query error: Database error: error returned from database: (code: 5) database is locked
2026-01-08T00:31:34.299299455Z [err]  2026-01-08 00:31:25,700 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-08T00:31:34.299306580Z [err]  2026-01-08 00:31:25,700 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-08T00:31:34.299314238Z [err]  2026-01-08 00:31:25,745 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-08T00:31:34.299321121Z [err]  2026-01-08 00:31:25,939 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-08T00:31:34.299330569Z [err]  2026-01-08 00:31:26,161 - server - INFO - ✅ QC enhanced router loaded
2026-01-08T00:31:34.299338241Z [err]  2026-01-08 00:31:26,257 - server - INFO - ✅ QC agent router loaded
2026-01-08T00:31:34.299345376Z [err]  2026-01-08 00:31:26,311 - server - INFO - ✅ QC learning router loaded
2026-01-08T00:31:34.299353040Z [err]  2026-01-08 00:31:26,330 - server - INFO - ✅ Voice library router loaded
2026-01-08T00:31:34.299360153Z [err]  2026-01-08 00:31:26,502 - server - INFO - ✅ CRM router loaded
2026-01-08T00:31:34.299365749Z [err]  2026-01-08 00:31:26,566 - server - INFO - ✅ QC test router loaded
2026-01-08T00:31:34.299371366Z [err]  2026-01-08 00:31:26,597 - server - INFO - ✅ Agent test router loaded
2026-01-08T00:31:34.299377161Z [err]  2026-01-08 00:31:26,615 - server - INFO - ✅ Director Studio router loaded
2026-01-08T00:31:34.299383684Z [err]  2026-01-08 00:31:26,615 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-08T00:31:34.299394539Z [err]  [2026-01-08 00:31:26 +0000] [5] [INFO] Started server process [5]
2026-01-08T00:31:34.299401174Z [err]  [2026-01-08 00:31:26 +0000] [5] [INFO] Waiting for application startup.
2026-01-08T00:31:34.302383320Z [err]  2026-01-08 00:31:26,655 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-08T00:31:34.302393424Z [err]  2026-01-08 00:31:31,477 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-08T00:31:34.302400199Z [err]  2026-01-08 00:31:31,477 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-08T00:31:34.302406608Z [err]  2026-01-08 00:31:31,477 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-08T00:31:34.302413664Z [err]  2026-01-08 00:31:31,477 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-08T00:31:34.302420122Z [err]  2026-01-08 00:31:31,480 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-08T00:31:34.302425678Z [err]  2026-01-08 00:31:31,480 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-08T00:31:34.302433292Z [err]  2026-01-08 00:31:31,510 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-08T00:31:34.302439663Z [err]  2026-01-08 00:31:31,512 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-08T00:31:34.302446324Z [err]  2026-01-08 00:31:31,513 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-08T00:31:34.302453000Z [err]  2026-01-08 00:31:31,663 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-08T00:31:34.302459121Z [err]  2026-01-08 00:31:31,668 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-08T00:31:34.302465542Z [err]  2026-01-08 00:31:31,676 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-08T00:31:34.302472393Z [err]  2026-01-08 00:31:31,737 - server - INFO - ✅ QC enhanced router loaded
2026-01-08T00:31:34.306946645Z [err]  2026-01-08 00:31:31,787 - server - INFO - ✅ QC agent router loaded
2026-01-08T00:31:34.306950157Z [err]  2026-01-08 00:31:31,959 - server - INFO - ✅ CRM router loaded
2026-01-08T00:31:34.306955069Z [err]  2026-01-08 00:31:31,795 - server - INFO - ✅ QC agent router loaded
2026-01-08T00:31:34.306963129Z [err]  2026-01-08 00:31:31,808 - server - INFO - ✅ QC learning router loaded
2026-01-08T00:31:34.306965729Z [err]  2026-01-08 00:31:31,963 - server - INFO - ✅ QC test router loaded
2026-01-08T00:31:34.306974433Z [err]  2026-01-08 00:31:31,813 - server - INFO - ✅ QC learning router loaded
2026-01-08T00:31:34.306976001Z [err]  2026-01-08 00:31:31,966 - server - INFO - ✅ CRM router loaded
2026-01-08T00:31:34.306982208Z [err]  2026-01-08 00:31:31,819 - server - INFO - ✅ Voice library router loaded
2026-01-08T00:31:34.306985161Z [err]  2026-01-08 00:31:31,970 - server - INFO - ✅ QC test router loaded
2026-01-08T00:31:34.306990979Z [err]  2026-01-08 00:31:31,822 - server - INFO - ✅ QC learning router loaded
2026-01-08T00:31:34.306994384Z [err]  2026-01-08 00:31:31,975 - server - INFO - ✅ CRM router loaded
2026-01-08T00:31:34.306998974Z [err]  2026-01-08 00:31:31,825 - server - INFO - ✅ Voice library router loaded
2026-01-08T00:31:34.307004199Z [err]  2026-01-08 00:31:31,980 - server - INFO - ✅ QC test router loaded
2026-01-08T00:31:34.307007347Z [err]  2026-01-08 00:31:31,833 - server - INFO - ✅ Voice library router loaded
2026-01-08T00:31:34.307012985Z [err]  2026-01-08 00:31:31,981 - server - INFO - ✅ Agent test router loaded
2026-01-08T00:31:34.307020358Z [err]  2026-01-08 00:31:31,989 - server - INFO - ✅ Agent test router loaded
2026-01-08T00:31:34.307026406Z [err]  2026-01-08 00:31:31,738 - server - INFO - ✅ QC enhanced router loaded
2026-01-08T00:31:34.307033673Z [err]  2026-01-08 00:31:31,745 - server - INFO - ✅ QC enhanced router loaded
2026-01-08T00:31:34.307042209Z [err]  2026-01-08 00:31:31,784 - server - INFO - ✅ QC agent router loaded
2026-01-08T00:31:34.310132226Z [err]  2026-01-08 00:31:32,015 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-08T00:31:34.310144610Z [err]  [2026-01-08 00:31:32 +0000] [3] [INFO] Started server process [3]
2026-01-08T00:31:34.310152553Z [err]  [2026-01-08 00:31:32 +0000] [3] [INFO] Waiting for application startup.
2026-01-08T00:31:34.310159334Z [err]  2026-01-08 00:31:32,020 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-08T00:31:34.310166215Z [err]  [2026-01-08 00:31:32 +0000] [4] [INFO] Started server process [4]
2026-01-08T00:31:34.310172929Z [err]  2026-01-08 00:31:31,990 - server - INFO - ✅ Director Studio router loaded
2026-01-08T00:31:34.310175820Z [err]  [2026-01-08 00:31:32 +0000] [4] [INFO] Waiting for application startup.
2026-01-08T00:31:34.310182058Z [err]  2026-01-08 00:31:31,991 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-08T00:31:34.310183760Z [err]  2026-01-08 00:31:32,030 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-08T00:31:34.310192846Z [err]  2026-01-08 00:31:31,999 - server - INFO - ✅ Director Studio router loaded
2026-01-08T00:31:34.310193006Z [err]  [2026-01-08 00:31:32 +0000] [6] [INFO] Started server process [6]
2026-01-08T00:31:34.310201817Z [err]  [2026-01-08 00:31:32 +0000] [6] [INFO] Waiting for application startup.
2026-01-08T00:31:34.310202885Z [err]  2026-01-08 00:31:31,999 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-08T00:31:34.310211836Z [err]  2026-01-08 00:31:32,005 - server - INFO - ✅ Agent test router loaded
