2026-01-03T00:25:18.000000000Z [inf]  Starting Container
2026-01-03T00:25:18.276417883Z [inf]  =========================================
2026-01-03T00:25:18.276426324Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-03T00:25:18.276433164Z [inf]  =========================================
2026-01-03T00:25:18.276438546Z [inf]  📍 Working directory: /app/backend
2026-01-03T00:25:18.276444650Z [inf]  🔍 Python path: /app/backend
2026-01-03T00:25:18.276456335Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-03T00:25:18.276461503Z [inf]  =========================================
2026-01-03T00:25:18.719011180Z [err]  [2026-01-03 00:25:18 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-03T00:25:18.719019300Z [err]  [2026-01-03 00:25:18 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-03T00:25:18.719035160Z [err]  [2026-01-03 00:25:18 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-03T00:25:18.724180185Z [err]  [2026-01-03 00:25:18 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-03T00:25:18.802504732Z [err]  [2026-01-03 00:25:18 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-03T00:25:18.866859979Z [err]  [2026-01-03 00:25:18 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-03T00:25:18.888550823Z [err]  [2026-01-03 00:25:18 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-03T00:25:38.896605336Z [err]  2026-01-03 00:25:32,807 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-03T00:25:38.896619369Z [err]  2026-01-03 00:25:32,808 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-03T00:25:38.896629370Z [err]  2026-01-03 00:25:32,809 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-03T00:25:38.896637238Z [err]  2026-01-03 00:25:32,809 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-03T00:25:38.896645236Z [err]  2026-01-03 00:25:32,834 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-03T00:25:38.896654075Z [err]  2026-01-03 00:25:32,852 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-03T00:25:38.896668434Z [err]  2026-01-03 00:25:32,892 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-03T00:25:38.896675421Z [err]  2026-01-03 00:25:32,892 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-03T00:25:38.896682326Z [err]  2026-01-03 00:25:32,914 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-03T00:25:38.896691351Z [err]  2026-01-03 00:25:32,918 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-03T00:25:38.896699853Z [err]  2026-01-03 00:25:32,918 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-03T00:25:38.896707843Z [err]  2026-01-03 00:25:32,941 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-03T00:25:38.896715076Z [err]  2026-01-03 00:25:32,948 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-03T00:25:38.896723103Z [err]  2026-01-03 00:25:32,967 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-03T00:25:38.897414064Z [err]  2026-01-03 00:25:33,027 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-03T00:25:38.897426227Z [err]  2026-01-03 00:25:33,044 - server - INFO - ✅ QC enhanced router loaded
2026-01-03T00:25:38.897435398Z [err]  2026-01-03 00:25:33,056 - server - INFO - ✅ QC enhanced router loaded
2026-01-03T00:25:38.897444736Z [err]  2026-01-03 00:25:33,060 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-03T00:25:38.897452841Z [err]  2026-01-03 00:25:33,082 - server - INFO - ✅ QC enhanced router loaded
2026-01-03T00:25:38.897459723Z [err]  2026-01-03 00:25:33,084 - server - INFO - ✅ QC agent router loaded
2026-01-03T00:25:38.897465066Z [err]  2026-01-03 00:25:33,091 - server - INFO - ✅ QC agent router loaded
2026-01-03T00:25:38.897473184Z [err]  2026-01-03 00:25:33,104 - server - INFO - ✅ QC learning router loaded
2026-01-03T00:25:38.897482043Z [err]  2026-01-03 00:25:33,107 - server - INFO - ✅ QC enhanced router loaded
2026-01-03T00:25:38.897491116Z [err]  2026-01-03 00:25:33,108 - server - INFO - ✅ QC learning router loaded
2026-01-03T00:25:38.897499862Z [err]  2026-01-03 00:25:33,120 - server - INFO - ✅ QC agent router loaded
2026-01-03T00:25:38.897506604Z [err]  2026-01-03 00:25:33,138 - server - INFO - ✅ QC learning router loaded
2026-01-03T00:25:38.897519928Z [err]  2026-01-03 00:25:33,142 - server - INFO - ✅ QC agent router loaded
2026-01-03T00:25:38.897526036Z [err]  2026-01-03 00:25:33,160 - server - INFO - ✅ QC learning router loaded
2026-01-03T00:25:38.897532087Z [err]  2026-01-03 00:25:33,207 - server - INFO - ✅ CRM router loaded
2026-01-03T00:25:38.897538203Z [err]  2026-01-03 00:25:33,209 - server - INFO - ✅ CRM router loaded
2026-01-03T00:25:38.897543838Z [err]  2026-01-03 00:25:33,220 - server - INFO - ✅ QC test router loaded
2026-01-03T00:25:38.897549624Z [err]  2026-01-03 00:25:33,220 - server - INFO - ✅ QC test router loaded
2026-01-03T00:25:38.898285744Z [err]  2026-01-03 00:25:33,235 - server - INFO - ✅ CRM router loaded
2026-01-03T00:25:38.898287551Z [err]  [2026-01-03 00:25:33 +0000] [3] [INFO] Started server process [3]
2026-01-03T00:25:38.898292451Z [err]  2026-01-03 00:25:33,238 - server - INFO - ✅ Agent test router loaded
2026-01-03T00:25:38.898296058Z [err]  [2026-01-03 00:25:33 +0000] [3] [INFO] Waiting for application startup.
2026-01-03T00:25:38.898298194Z [err]  2026-01-03 00:25:33,238 - server - INFO - ✅ Agent test router loaded
2026-01-03T00:25:38.898302927Z [err]  2026-01-03 00:25:33,265 - server - INFO - ✅ QC test router loaded
2026-01-03T00:25:38.898304360Z [err]  2026-01-03 00:25:33,240 - server - INFO - ✅ QC test router loaded
2026-01-03T00:25:38.898308728Z [err]  [2026-01-03 00:25:33 +0000] [5] [INFO] Started server process [5]
2026-01-03T00:25:38.898310466Z [err]  2026-01-03 00:25:33,248 - server - INFO - ✅ Director Studio router loaded
2026-01-03T00:25:38.898315563Z [err]  [2026-01-03 00:25:33 +0000] [5] [INFO] Waiting for application startup.
2026-01-03T00:25:38.898316398Z [err]  2026-01-03 00:25:33,248 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-03T00:25:38.898321510Z [err]  [2026-01-03 00:25:33 +0000] [6] [INFO] Started server process [6]
2026-01-03T00:25:38.898322227Z [err]  2026-01-03 00:25:33,249 - server - INFO - ✅ Director Studio router loaded
2026-01-03T00:25:38.898329058Z [err]  2026-01-03 00:25:33,249 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-03T00:25:38.898333227Z [err]  2026-01-03 00:25:33,252 - server - INFO - ✅ Agent test router loaded
2026-01-03T00:25:38.898337000Z [err]  2026-01-03 00:25:33,258 - server - INFO - ✅ Director Studio router loaded
2026-01-03T00:25:38.898341218Z [err]  2026-01-03 00:25:33,259 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-03T00:25:38.898344905Z [err]  2026-01-03 00:25:33,261 - server - INFO - ✅ CRM router loaded
2026-01-03T00:25:38.899018378Z [err]  [2026-01-03 00:25:33 +0000] [6] [INFO] Waiting for application startup.
2026-01-03T00:25:38.899024666Z [err]  2026-01-03 00:25:33,278 - server - INFO - ✅ Agent test router loaded
2026-01-03T00:25:38.899029007Z [err]  2026-01-03 00:25:33,287 - server - INFO - ✅ Director Studio router loaded
2026-01-03T00:25:38.899034128Z [err]  2026-01-03 00:25:33,287 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-03T00:25:38.899038194Z [err]  [2026-01-03 00:25:33 +0000] [4] [INFO] Started server process [4]
2026-01-03T00:25:38.899042461Z [err]  [2026-01-03 00:25:33 +0000] [4] [INFO] Waiting for application startup.
2026-01-03T00:25:38.899047237Z [err]  2026-01-03 00:25:33,335 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-03T00:25:38.899053266Z [err]  2026-01-03 00:25:33,335 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-03T00:25:38.899057462Z [err]  2026-01-03 00:25:33,335 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-03T00:25:38.899061407Z [err]  2026-01-03 00:25:33,335 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-03T00:25:41.491638672Z [err]  2026-01-03 00:25:41,326 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2026-01-03T00:25:41.491697303Z [err]  2026-01-03 00:25:41,302 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2026-01-03T00:25:41.491705311Z [err]  2026-01-03 00:25:41,281 - server - INFO - ✅ Comfort noise MP3 ready for immediate use
2026-01-03T00:25:41.491707470Z [err]  2026-01-03 00:25:41,303 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2026-01-03T00:25:41.491714163Z [err]  2026-01-03 00:25:41,281 - server - INFO - 🎵 Pre-warming mulaw comfort noise for WebSocket streaming...
2026-01-03T00:25:41.491721528Z [err]  2026-01-03 00:25:41,281 - comfort_noise - INFO - 🎵 Loading mulaw comfort noise for WebSocket mixing...
